Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Spain,1713192,1776746,1636740,1449042,1316117,1407027,1463595,1567798,1537833,1492410,1445893
Germany,284774,325334,371512,370413,391064,413401,424195,448968,421725,426956,468940
Austria,53487,66395,72041,81298,68450,71384,78042,73108,61269,65162,79728
Belgium,79402,99020,123598,128988,126380,128330,125396,124519,129754,131271,130261
Denmark,60693,66901,67594,66565,64458,62216,72759,75039,76925,71809,71666
Finland,39171,51820,52112,49531,57035,64493,61511,56963,50018,50105,48766
France,426975,510734,555278,511345,547433,577180,579571,628802,609778,657245,655149
Greece,42162,65247,59421,30471,28389,28079,28570,30587,32663,37290,39564
Ireland,71276,67665,65928,61631,58034,58788,63557,73698,67910,70666,74280
Italy,461246,507474,523306,438827,384463,415003,460884,473853,457619,509017,526100
Luxembourg,6323,6179,6375,6708,7701,6852,7008,6912,6212,7110,7863
Norway,48957,74387,84101,83207,96214,94850,85908,84029,79823,70782,66225
Netherlands,168722,174880,207531,200420,180560,187706,199904,173992,185494,194062,192812
Poland,29307,39040,43446,45834,50946,50859,54918,63236,65595,71177,75317
Portugal,75598,91251,105691,91372,82287,84281,83589,88374,97793,108838,106345
UK,445710,478921,495007,529621,544195,574212,608114,668994,657877,675731,690192
Russia,49775,80234,122913,170565,202713,171701,120373,112504,140079,162966,174835
Sweden,72710,113868,121491,122965,131761,121212,118790,117159,122005,113425,111054
Switzerland,72420,140525,126161,126365,128382,126676,140593,137986,131181,129386,132698
Czech Republic,14835,16127,20023,18478,16658,17211,20033,20862,22896,27284,33838
Other european countries,180388,234459,309865,292211,301469,272252,273244,145244,137725,145072,177260
Japan,117998,135580,146831,145548,146113,145834,140668,139438,160250,148282,198123
USA,407803,462062,567408,567752,543033,547244,610289,634293,726969,848146,991053
Other american countries,271313,417848,528935,489521,436883,411913,430200,475463,562139,607618,674887
African countries,40212,56777,66054,69746,79349,87435,106846,122593,131713,120712,123717
Other countries,281251,362736,440628,499722,573195,602500,731687,283088,275602,305801,291931
